indexUrl,title,url,sha256,bytes,rows,numericCells,blankCells,firstDay,lastDay,uniqueDays
https://www.ercot.com/mktinfo/data_agg/2008,2008 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2009/01/05/tlf_actual_for_2008.zip,bebd1024e013fa0fb673eb4defb4fad7bbeb5de053aef9338632ad1671361e8b,329026,366,35136,4,2008-01-01,2008-12-31,366
https://www.ercot.com/mktinfo/data_agg/2008,2008 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2009/01/05/tlf_forecasted_for_2008.zip,2b31954e25ea7be238f2c6a01b02b32c4b6bb9ba1621cb56df8ddb8a74533b6f,572223,366,35136,4,2008-01-01,2008-12-31,366
https://www.ercot.com/mktinfo/data_agg/2009,2009 TDSP Distribution Loss Factors - Actual,https://www.ercot.com/files/docs/2011/03/15/dlf_actual_for_2009.zip,13b28e79ba261db31c843b03d934ea85e42b633663e6ff84d39450e802e33f25,4832364,5840,560640,64,2009-01-01,2009-12-31,365
https://www.ercot.com/mktinfo/data_agg/2009,2009 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2011/03/15/dlf_forecasted_for_2009.zip,03d837c877c8ed3b582a7f380f569a0d5d5247cfb4c235e20d2b5390202c2003,2360781,5840,560640,64,2009-01-01,2009-12-31,365
https://www.ercot.com/mktinfo/data_agg/2009,2009 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2011/03/15/tlf_actual_for_2009.zip,77e3b0777c60d973e368c7b15485345618a970e8ea947a59b9d133acda92228e,334648,365,35040,4,2009-01-01,2009-12-31,365
https://www.ercot.com/mktinfo/data_agg/2009,2009 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2011/03/15/tlf_forecasted_for_2009.zip,9d650f9318bde1954e24a48518f31e83c2d56d41af048bd0ce325bd537c2d249,582126,365,35040,4,2009-01-01,2009-12-31,365
https://www.ercot.com/mktinfo/data_agg/2010,2010 TDSP Distribution Loss Factors - Actual,https://www.ercot.com/files/docs/2011/03/15/dlf_actual_for_2010.zip,b2d2dda67fa0a9cc3d947560ead66efbfcf381706083aa4b9dea83a572f1d0c8,4833595,5840,560640,64,2010-01-01,2010-12-31,365
https://www.ercot.com/mktinfo/data_agg/2010,2010 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2011/03/15/dlf_forecasted_for_2010.zip,9fc39fe0dab258d7d98720e3972f4710b69ce485a32a7aaf340a72d9235d0612,2359028,5840,560640,64,2010-01-01,2010-12-31,365
https://www.ercot.com/mktinfo/data_agg/2010,2010 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2011/03/15/tlf_actual_for_2010.zip,58fbda277d04ce8170042d2e9167be13cc3ee0073b60925e8b724043047a7266,340071,365,35040,4,2010-01-01,2010-12-31,365
https://www.ercot.com/mktinfo/data_agg/2010,2010 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2011/03/15/tlf_forecasted_for_2010.zip,32db0b70be58140931d2356fa25dd77d7182e4bd17ffd9953589edf3d0cfab45,585242,366,35136,4,2010-01-01,2010-12-31,365
https://www.ercot.com/mktinfo/data_agg/2011,DLF forecasted for 2011,https://www.ercot.com/files/docs/2012/01/09/dlf_forecasted_for_2011.zip,8a3d1469b7074a2b7941ed6eb5d03e217e645b372e5fcc19d7b25f56679cb79a,2349790,5840,560640,64,2011-01-01,2011-12-31,365
https://www.ercot.com/mktinfo/data_agg/2011,TLF actual for 2011,https://www.ercot.com/files/docs/2012/01/09/tlf_actual_for_2011.zip,6e15ba73009548b182d95e1fcbfb89c9987c9f4be023f7ef63f1781fa194ccd5,351870,365,35040,4,2011-01-01,2011-12-31,365
https://www.ercot.com/mktinfo/data_agg/2011,TLF forecasted for 2011,https://www.ercot.com/files/docs/2012/01/09/tlf_forecasted_for_2011.zip,75cb9eca7b98a7267efdfb06546af6996ad30eeb0c2105052ad3753d0a66f005,558867,365,35040,4,2011-01-01,2011-12-31,365
https://www.ercot.com/mktinfo/data_agg/2011,DLF actual for 2011,https://www.ercot.com/files/docs/2012/01/13/dlf_actual_for_2011.zip,402291c82efc9fc381f52daf0930fa70c1cd604a4ab6740a69d1ce3897164f18,4816204,5840,560640,64,2011-01-01,2011-12-31,365
https://www.ercot.com/mktinfo/data_agg/2012,DLF actual for 2012,https://www.ercot.com/files/docs/2013/01/08/dlf_actual_for_2012.zip,30c4a9516b98f0b708e071f32121e1a69cbca7398ccc7af62caeec87a77a2e00,4822731,5856,562176,64,2012-01-01,2012-12-31,366
https://www.ercot.com/mktinfo/data_agg/2012,DLF forecasted for 2012,https://www.ercot.com/files/docs/2013/01/08/dlf_forecasted_for_2012.zip,e5b9861f4553ff0c6cbd041cfc894785d2854a342a6beb9911a01f1bef224317,2328550,5856,562176,64,2012-01-01,2012-12-31,366
https://www.ercot.com/mktinfo/data_agg/2012,TLF actual for 2012,https://www.ercot.com/files/docs/2013/01/08/tlf_actual_for_2012.zip,d634698351b9091746d9fe6e8e010569a7bf314fdc4cddd91897c20f4550f77b,352004,366,35136,4,2012-01-01,2012-12-31,366
https://www.ercot.com/mktinfo/data_agg/2012,TLF forecasted for 2012,https://www.ercot.com/files/docs/2013/01/08/tlf_forecasted_for_2012.zip,a6a8c28c16d0ce3b518a85123eade8abb9dbd5de78b39201a6d39c49105f71a8,167826,366,35136,4,2012-01-01,2012-12-31,366
https://www.ercot.com/mktinfo/data_agg/2013,DLF forecasted for 2013,https://www.ercot.com/files/docs/2014/01/07/dlf_forecasted_for_2013.zip,687312a1ec32c07aa2315efec3cd0c583638a7e8c3fded34054dc04f92f4395e,2318554,5840,560640,64,2013-01-01,2013-12-31,365
https://www.ercot.com/mktinfo/data_agg/2013,TLF actual for 2013,https://www.ercot.com/files/docs/2014/01/07/tlf_actual_for_2013.zip,7f0803aa3ac75147b7675512f16aa43bd085fdf60d23040888f7255bd0ffc9cd,330571,366,35140,4,2013-01-01,2013-12-31,365
https://www.ercot.com/mktinfo/data_agg/2013,TLF forecasted for 2013,https://www.ercot.com/files/docs/2014/01/07/tlf_forecasted_for_2013.zip,71a6359a2b1bf915d9c28f71ec22f6c8f09f18e27b89746b51b3df1f01f66e0d,164946,365,35040,4,2013-01-01,2013-12-31,365
https://www.ercot.com/mktinfo/data_agg/2013,DLF actual for 2013,https://www.ercot.com/files/docs/2014/05/23/dlf_actual_for_2013.zip,62787736deafe1a3d64ea8c04aea29fdab9bca7928b11cacf14620830db6d286,4802349,5840,560640,64,2013-01-01,2013-12-31,365
https://www.ercot.com/mktinfo/data_agg/2014,DLF actual for 2014,https://www.ercot.com/files/docs/2015/01/05/dlf_actual_for_2014.zip,447b41a21675c2a130bbb9435d1b4b1ab8dd0f907893a2f8790e71b6f2371406,5352356,6935,665760,76,2014-01-01,2014-12-31,365
https://www.ercot.com/mktinfo/data_agg/2014,DLF forecasted for 2014,https://www.ercot.com/files/docs/2015/01/05/dlf_forecasted_for_2014.zip,48fd1d49f4731b5679176094ca6d959bdb90ce95b42f5196d0cf8585d8ea6dd3,4132593,6935,665760,76,2014-01-01,2014-12-31,365
